filename,emotion
1.wav,Disgusted
2.wav,Angry
3.wav,Angry
4.wav,Happy
5.wav,Neutral
6.wav,Sad
7.wav,Neutral
8.wav,Happy
9.wav,Happy
10.wav,Fearful
11.wav,Angry
12.wav,Sad
13.wav,Neutral
14.wav,Angry
15.wav,Angry
16.wav,Angry
17.wav,Disgusted
18.wav,Happy
19.wav,Suprised
20.wav,Angry
21.wav,Neutral
22.wav,Happy
23.wav,Disgusted
24.wav,Fearful
25.wav,Angry
26.wav,Happy
27.wav,Angry
28.wav,Angry
29.wav,Happy
30.wav,Neutral
31.wav,Sad
32.wav,Suprised
33.wav,Fearful
34.wav,Angry
35.wav,Neutral
36.wav,Neutral
37.wav,Disgusted
38.wav,Neutral
39.wav,Fearful
40.wav,Happy
41.wav,Sad
42.wav,Sad
43.wav,Neutral
44.wav,Fearful
45.wav,Angry
46.wav,Suprised
47.wav,Angry
48.wav,Suprised
49.wav,Fearful
50.wav,Angry
51.wav,Disgusted
52.wav,Angry
53.wav,Fearful
54.wav,Angry
55.wav,Neutral
56.wav,Happy
57.wav,Neutral
58.wav,Neutral
59.wav,Happy
60.wav,Happy
61.wav,Angry
62.wav,Sad
63.wav,Neutral
64.wav,Fearful
65.wav,Angry
66.wav,Suprised
67.wav,Neutral
68.wav,Angry
69.wav,Angry
70.wav,Angry
71.wav,Neutral
72.wav,Neutral
73.wav,Angry
74.wav,Sad
75.wav,Sad
76.wav,Happy
77.wav,Neutral
78.wav,Happy
79.wav,Sad
80.wav,Angry
81.wav,Neutral
82.wav,Angry
83.wav,Happy
84.wav,Angry
85.wav,Angry
86.wav,Angry
87.wav,Angry
88.wav,Sad
89.wav,Sad
90.wav,Neutral
91.wav,Angry
92.wav,Fearful
93.wav,Sad
94.wav,Angry
95.wav,Angry
96.wav,Neutral
97.wav,Fearful
98.wav,Happy
99.wav,Neutral
100.wav,Angry
101.wav,Happy
102.wav,Angry
103.wav,Sad
104.wav,Happy
105.wav,Angry
106.wav,Angry
107.wav,Angry
108.wav,Sad
109.wav,Neutral
110.wav,Sad
111.wav,Happy
112.wav,Sad
113.wav,Fearful
114.wav,Disgusted
115.wav,Neutral
116.wav,Happy
117.wav,Angry
118.wav,Happy
119.wav,Angry
120.wav,Sad
121.wav,Sad
122.wav,Angry
123.wav,Angry
124.wav,Disgusted
125.wav,Sad
126.wav,Happy
127.wav,Sad
128.wav,Fearful
129.wav,Fearful
130.wav,Neutral
131.wav,Suprised
132.wav,Happy
133.wav,Happy
134.wav,Neutral
135.wav,Neutral
136.wav,Happy
137.wav,Suprised
138.wav,Happy
139.wav,Happy
140.wav,Fearful
141.wav,Disgusted
142.wav,Angry
143.wav,Happy
144.wav,Happy
145.wav,Neutral
146.wav,Happy
147.wav,Sad
148.wav,Angry
149.wav,Disgusted
150.wav,Angry
151.wav,Happy
152.wav,Happy
153.wav,Sad
154.wav,Sad
155.wav,Neutral
156.wav,Happy
157.wav,Angry
158.wav,Happy
159.wav,Happy
160.wav,Happy
161.wav,Suprised
162.wav,Angry
163.wav,Angry
164.wav,Neutral
165.wav,Neutral
166.wav,Sad
167.wav,Disgusted
168.wav,Neutral
169.wav,Angry
170.wav,Disgusted
171.wav,Sad
172.wav,Disgusted
173.wav,Sad
174.wav,Fearful
175.wav,Suprised
176.wav,Happy
177.wav,Angry
178.wav,Fearful
179.wav,Happy
180.wav,Angry
181.wav,Happy
182.wav,Sad
183.wav,Angry
184.wav,Angry
185.wav,Angry
186.wav,Neutral
187.wav,Suprised
188.wav,Happy
189.wav,Sad
190.wav,Sad
191.wav,Angry
192.wav,Happy
193.wav,Neutral
194.wav,Angry
195.wav,Angry
196.wav,Sad
197.wav,Angry
198.wav,Happy
199.wav,Sad
200.wav,Happy
201.wav,Neutral
202.wav,Fearful
203.wav,Suprised
204.wav,Angry
205.wav,Angry
206.wav,Angry
207.wav,Angry
208.wav,Neutral
209.wav,Neutral
210.wav,Happy
211.wav,Angry
212.wav,Neutral
213.wav,Angry
214.wav,Suprised
215.wav,Sad
216.wav,Happy
217.wav,Sad
218.wav,Disgusted
219.wav,Sad
220.wav,Fearful
221.wav,Suprised
222.wav,Neutral
223.wav,Suprised
224.wav,Neutral
225.wav,Sad
226.wav,Angry
227.wav,Neutral
228.wav,Angry
229.wav,Neutral
230.wav,Neutral
231.wav,Neutral
232.wav,Sad
233.wav,Disgusted
234.wav,Angry
235.wav,Happy
236.wav,Fearful
237.wav,Fearful
238.wav,Neutral
239.wav,Sad
240.wav,Neutral
241.wav,Sad
242.wav,Angry
243.wav,Angry
244.wav,Disgusted
245.wav,Fearful
246.wav,Suprised
247.wav,Disgusted
248.wav,Happy
249.wav,Neutral
250.wav,Angry
251.wav,Angry
252.wav,Happy
253.wav,Disgusted
254.wav,Sad
255.wav,Angry
256.wav,Neutral
257.wav,Angry
258.wav,Angry
259.wav,Angry
260.wav,Sad
261.wav,Neutral
262.wav,Disgusted
263.wav,Happy
264.wav,Angry
265.wav,Angry
266.wav,Happy
267.wav,Fearful
268.wav,Neutral
269.wav,Fearful
270.wav,Happy
271.wav,Disgusted
272.wav,Disgusted
273.wav,Angry
274.wav,Sad
275.wav,Angry
276.wav,Sad
277.wav,Angry
278.wav,Angry
279.wav,Sad
280.wav,Happy
281.wav,Sad
282.wav,Neutral
283.wav,Neutral
284.wav,Happy
285.wav,Angry
286.wav,Neutral
287.wav,Neutral
288.wav,Neutral
289.wav,Suprised
290.wav,Disgusted
291.wav,Sad
292.wav,Neutral
293.wav,Happy
294.wav,Happy
295.wav,Fearful
296.wav,Happy
297.wav,Angry
298.wav,Angry
299.wav,Happy
300.wav,Angry
301.wav,Happy
302.wav,Fearful
303.wav,Angry
304.wav,Sad
305.wav,Fearful
306.wav,Fearful
307.wav,Fearful
308.wav,Neutral
309.wav,Happy
310.wav,Angry
311.wav,Sad
312.wav,Sad
313.wav,Angry
314.wav,Fearful
315.wav,Fearful
316.wav,Neutral
317.wav,Angry
318.wav,Fearful
319.wav,Suprised
320.wav,Fearful
321.wav,Happy
322.wav,Angry
323.wav,Angry
324.wav,Happy
325.wav,Angry
326.wav,Angry
327.wav,Angry
328.wav,Happy
329.wav,Angry
330.wav,Happy
331.wav,Sad
332.wav,Angry
333.wav,Angry
334.wav,Angry
335.wav,Neutral
336.wav,Angry
337.wav,Happy
338.wav,Sad
339.wav,Sad
340.wav,Sad
341.wav,Neutral
342.wav,Happy
343.wav,Happy
344.wav,Sad
345.wav,Angry
346.wav,Disgusted
347.wav,Fearful
348.wav,Neutral
349.wav,Sad
350.wav,Fearful
351.wav,Angry
352.wav,Angry
353.wav,Sad
354.wav,Neutral
355.wav,Angry
356.wav,Angry
357.wav,Sad
358.wav,Neutral
359.wav,Fearful
360.wav,Angry
361.wav,Sad
362.wav,Neutral
363.wav,Happy
364.wav,Suprised
365.wav,Neutral
366.wav,Happy
367.wav,Sad
368.wav,Neutral
369.wav,Angry
370.wav,Disgusted
371.wav,Happy
372.wav,Sad
373.wav,Angry
