filename,emotion
1.wav,Disgusted
2.wav,Angry
3.wav,Angry
4.wav,Fearful
5.wav,Neutral
6.wav,Sad
7.wav,Neutral
8.wav,Neutral
9.wav,Happy
10.wav,Sad
11.wav,Angry
12.wav,Sad
13.wav,Neutral
14.wav,Disgusted
15.wav,Happy
16.wav,Angry
17.wav,Fearful
18.wav,Fearful
19.wav,Suprised
20.wav,Fearful
21.wav,Neutral
22.wav,Happy
23.wav,Disgusted
24.wav,Fearful
25.wav,Fearful
26.wav,Fearful
27.wav,Happy
28.wav,Angry
29.wav,Sad
30.wav,Sad
31.wav,Sad
32.wav,Fearful
33.wav,Fearful
34.wav,Angry
35.wav,Neutral
36.wav,Neutral
37.wav,Sad
38.wav,Sad
39.wav,Fearful
40.wav,Happy
41.wav,Sad
42.wav,Sad
43.wav,Neutral
44.wav,Fearful
45.wav,Neutral
46.wav,Suprised
47.wav,Angry
48.wav,Suprised
49.wav,Fearful
50.wav,Fearful
51.wav,Disgusted
52.wav,Neutral
53.wav,Fearful
54.wav,Happy
55.wav,Neutral
56.wav,Happy
57.wav,Sad
58.wav,Sad
59.wav,Neutral
60.wav,Sad
61.wav,Fearful
62.wav,Sad
63.wav,Neutral
64.wav,Fearful
65.wav,Neutral
66.wav,Suprised
67.wav,Neutral
68.wav,Happy
69.wav,Fearful
70.wav,Angry
71.wav,Neutral
72.wav,Fearful
73.wav,Neutral
74.wav,Sad
75.wav,Sad
76.wav,Neutral
77.wav,Neutral
78.wav,Disgusted
79.wav,Sad
80.wav,Neutral
81.wav,Neutral
82.wav,Happy
83.wav,Happy
84.wav,Angry
85.wav,Neutral
86.wav,Angry
87.wav,Happy
88.wav,Sad
89.wav,Sad
90.wav,Neutral
91.wav,Angry
92.wav,Sad
93.wav,Sad
94.wav,Angry
95.wav,Angry
96.wav,Neutral
97.wav,Fearful
98.wav,Fearful
99.wav,Neutral
100.wav,Angry
101.wav,Fearful
102.wav,Happy
103.wav,Fearful
104.wav,Happy
105.wav,Neutral
106.wav,Fearful
107.wav,Angry
108.wav,Sad
109.wav,Neutral
110.wav,Sad
111.wav,Happy
112.wav,Sad
113.wav,Fearful
114.wav,Disgusted
115.wav,Neutral
116.wav,Happy
117.wav,Angry
118.wav,Happy
119.wav,Angry
120.wav,Sad
121.wav,Sad
122.wav,Angry
123.wav,Happy
124.wav,Sad
125.wav,Sad
126.wav,Happy
127.wav,Sad
128.wav,Fearful
129.wav,Fearful
130.wav,Fearful
131.wav,Suprised
132.wav,Fearful
133.wav,Happy
134.wav,Neutral
135.wav,Neutral
136.wav,Fearful
137.wav,Happy
138.wav,Happy
139.wav,Neutral
140.wav,Fearful
141.wav,Sad
142.wav,Angry
143.wav,Happy
144.wav,Happy
145.wav,Neutral
146.wav,Happy
147.wav,Sad
148.wav,Happy
149.wav,Disgusted
150.wav,Angry
151.wav,Happy
152.wav,Neutral
153.wav,Sad
154.wav,Sad
155.wav,Sad
156.wav,Neutral
157.wav,Happy
158.wav,Neutral
159.wav,Happy
160.wav,Happy
161.wav,Suprised
162.wav,Disgusted
163.wav,Happy
164.wav,Sad
165.wav,Neutral
166.wav,Sad
167.wav,Sad
168.wav,Sad
169.wav,Neutral
170.wav,Fearful
171.wav,Fearful
172.wav,Sad
173.wav,Sad
174.wav,Fearful
175.wav,Suprised
176.wav,Fearful
177.wav,Angry
178.wav,Fearful
179.wav,Fearful
180.wav,Angry
181.wav,Happy
182.wav,Sad
183.wav,Angry
184.wav,Angry
185.wav,Angry
186.wav,Sad
187.wav,Suprised
188.wav,Happy
189.wav,Sad
190.wav,Sad
191.wav,Angry
192.wav,Fearful
193.wav,Neutral
194.wav,Neutral
195.wav,Happy
196.wav,Sad
197.wav,Angry
198.wav,Happy
199.wav,Sad
200.wav,Happy
201.wav,Neutral
202.wav,Fearful
203.wav,Suprised
204.wav,Fearful
205.wav,Neutral
206.wav,Angry
207.wav,Angry
208.wav,Neutral
209.wav,Neutral
210.wav,Happy
211.wav,Happy
212.wav,Neutral
213.wav,Neutral
214.wav,Fearful
215.wav,Sad
216.wav,Fearful
217.wav,Sad
218.wav,Disgusted
219.wav,Sad
220.wav,Fearful
221.wav,Suprised
222.wav,Neutral
223.wav,Sad
224.wav,Sad
225.wav,Sad
226.wav,Angry
227.wav,Sad
228.wav,Fearful
229.wav,Neutral
230.wav,Neutral
231.wav,Sad
232.wav,Sad
233.wav,Disgusted
234.wav,Sad
235.wav,Fearful
236.wav,Fearful
237.wav,Fearful
238.wav,Neutral
239.wav,Sad
240.wav,Fearful
241.wav,Sad
242.wav,Angry
243.wav,Neutral
244.wav,Disgusted
245.wav,Fearful
246.wav,Happy
247.wav,Disgusted
248.wav,Happy
249.wav,Sad
250.wav,Angry
251.wav,Happy
252.wav,Happy
253.wav,Disgusted
254.wav,Sad
255.wav,Fearful
256.wav,Neutral
257.wav,Angry
258.wav,Happy
259.wav,Happy
260.wav,Sad
261.wav,Neutral
262.wav,Fearful
263.wav,Sad
264.wav,Angry
265.wav,Angry
266.wav,Happy
267.wav,Fearful
268.wav,Sad
269.wav,Fearful
270.wav,Neutral
271.wav,Disgusted
272.wav,Disgusted
273.wav,Fearful
274.wav,Sad
275.wav,Happy
276.wav,Sad
277.wav,Fearful
278.wav,Angry
279.wav,Sad
280.wav,Happy
281.wav,Sad
282.wav,Sad
283.wav,Neutral
284.wav,Neutral
285.wav,Angry
286.wav,Neutral
287.wav,Fearful
288.wav,Sad
289.wav,Suprised
290.wav,Disgusted
291.wav,Sad
292.wav,Neutral
293.wav,Fearful
294.wav,Fearful
295.wav,Happy
296.wav,Happy
297.wav,Happy
298.wav,Happy
299.wav,Fearful
300.wav,Disgusted
301.wav,Happy
302.wav,Fearful
303.wav,Angry
304.wav,Sad
305.wav,Sad
306.wav,Fearful
307.wav,Fearful
308.wav,Neutral
309.wav,Neutral
310.wav,Neutral
311.wav,Sad
312.wav,Sad
313.wav,Angry
314.wav,Fearful
315.wav,Fearful
316.wav,Neutral
317.wav,Angry
318.wav,Fearful
319.wav,Fearful
320.wav,Fearful
321.wav,Happy
322.wav,Disgusted
323.wav,Neutral
324.wav,Neutral
325.wav,Disgusted
326.wav,Happy
327.wav,Angry
328.wav,Fearful
329.wav,Happy
330.wav,Fearful
331.wav,Fearful
332.wav,Angry
333.wav,Happy
334.wav,Fearful
335.wav,Neutral
336.wav,Happy
337.wav,Happy
338.wav,Sad
339.wav,Sad
340.wav,Sad
341.wav,Neutral
342.wav,Happy
343.wav,Happy
344.wav,Sad
345.wav,Disgusted
346.wav,Sad
347.wav,Sad
348.wav,Neutral
349.wav,Sad
350.wav,Fearful
351.wav,Angry
352.wav,Neutral
353.wav,Sad
354.wav,Neutral
355.wav,Happy
356.wav,Angry
357.wav,Sad
358.wav,Sad
359.wav,Fearful
360.wav,Angry
361.wav,Sad
362.wav,Fearful
363.wav,Happy
364.wav,Suprised
365.wav,Neutral
366.wav,Happy
367.wav,Sad
368.wav,Neutral
369.wav,Angry
